TaxID	phylum	class	order	family	genus
64644	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Actinomucor
5340	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus
5598	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
47182	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Ascodesmis
5052	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
5579	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium
43971	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Blastobotrys
12967		Bigyra	Opalinata	Blastocystidae	Blastocystis
33196	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
13366	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces
6237	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis
1535326	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
5475	Ascomycota	Saccharomycetes	Saccharomycetales		Candida
36910	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora
79922	Platyhelminthes	Trematoda	Opisthorchiida	Opisthorchiidae	Clonorchis
45234	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps
5806	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium
604195	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
4958	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces
6953	Arthropoda	Arachnida	Sarcoptiformes	Pyroglyphidae	Dermatophagoides
1910789	Ascomycota	Saccharomycetes	Saccharomycetales		Diutina
5758	Evosea		Mastigamoebida	Entamoebidae	Entamoeba
51027	Nematoda	Chromadorea	Rhabditida	Oxyuridae	Enterobius
95601	Arthropoda	Malacostraca	Decapoda	Varunidae	Eriocheir
5583	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
38944	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Flammulina
5740	Fornicata		Diplomonadida	Hexamitidae	Giardia
34622	Arthropoda	Arachnida	Ixodida	Ixodidae	Haemaphysalis
29832	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora
507510	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Hyphopichia
71245	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania
4910	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces
77850	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Kodamaea
300275	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea
688353	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia
36913	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Lodderomyces
55193	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia
766728	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma
374468	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces
311780	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces
5073	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
2849	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum
4919	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
265084	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia
52429	Arthropoda	Collembola	Poduromorpha	Neanuridae	Pseudachorutes
1052105	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium
5027	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora
476763	Arthropoda	Insecta	Odonata	Chlorocyphidae	Rhinocypha
4838	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Rhizomucor
4842	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus
5533	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula
4930	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
6181	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae	Schistosoma
4895	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
13705	Mucoromycota	Mucoromycetes	Mucorales	Syncephalastraceae	Syncephalastrum
4948	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora
5552	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon
231006	Ascomycota	Sordariomycetes	Hypocreales		Trichothecium
5269	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago
148959	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia
45787	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella
599737	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
4953	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces
