Sample	input_raw_reads	fastp	bowtie
SRR8791364	24367573	22654542	22654540
SRR8791365	19389680	18069474	18069441
SRR8791366	26511122	25437425	25437422
SRR8791367	19658254	18376426	18376421
SRR8791368	27978423	26843812	26843811
SRR8791369	11618243	10429059	10428977
SRR8791370	33025154	31335837	31335829
SRR8791371	22429250	21093854	21093853
SRR8791372	24572109	23170754	23170734
SRR8791373	21832372	20469813	20469812
SRR8791374	13632622	12386349	12386347
SRR8791375	18845806	17317680	17317680
SRR8791376	24945438	23004268	23004264
SRR8791378	13587952	12579150	12579145
SRR8791379	14136284	13202235	13202235
SRR8791380	23936176	22692398	22692395
SRR8791381	15899827	14320294	14320294
SRR8791382	15675848	15122140	15122127
SRR8791383	15206539	14732520	14732518
SRR8791384	15953512	14869617	14869611
SRR8791385	18764934	17903094	17903081
SRR8791386	15622202	14589645	14589645
SRR8791387	16010232	15200948	15200947
SRR8791388	25978603	24605431	24605431
SRR8791389	44187607	42569036	42569033
SRR8791390	26933409	25209612	25209610
SRR8791391	20672102	19887612	19887612
SRR8791392	20423976	19555326	19555326
SRR8791393	35892802	34452627	34452573
SRR8791394	30041323	28333415	28333388
SRR8791395	32037744	30410476	30410473
SRR8791396	42429333	40865940	40865935
SRR8791397	26675167	24686984	24686952
SRR8791398	35489977	33812017	33811982
SRR8791400	22371467	20988087	20988083
SRR8791401	27278114	25754734	25754734
SRR8791402	24179366	22846266	22846255
SRR8791403	36731948	35186223	35186214
SRR8791404	29474728	27987453	27987413
SRR8791405	17970074	16566564	16566564
SRR8791406	23706995	22239581	22239581
SRR8791407	25746714	24091156	24091147
