Sample	input_raw_reads	fastp_low_comp
DRR042264	9213989	9041663
DRR042272	14403069	14032872
DRR042280	13115207	12803671
DRR042288	9215026	9116430
DRR042304	13080182	12723463
DRR042312	9220695	9119164
DRR042316	8443702	8383285
DRR042320	14073233	13707792
DRR042328	7924914	7868179
DRR042332	12844073	12490789
DRR042340	14131242	13757962
DRR042348	7650770	7597358
DRR042352	9513438	9411600
DRR042356	9530432	9430108
DRR042360	9413070	9323180
DRR042364	8263807	8178129
DRR042390	9749135	9654050
DRR042394	9629411	9525989
DRR042398	9786169	9693562
DRR042402	12171331	11860531
DRR042410	11721768	11431432
DRR042420	10484105	10194070
DRR042424	11888451	11483638
DRR042428	9262669	9028797
DRR042436	12072418	11818761
DRR042452	12245087	11847301
DRR042462	10640596	10437734
DRR042468	8316345	8134064
DRR042472	11672126	11302838
DRR042482	13101156	13044279
DRR042488	12895260	12332089
DRR042591	11465841	11408032
