Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR8791364	24367573	22654542	92.97003850157749	22654540	92.97003029394844
SRR8791365	19389680	18069474	93.19119242813703	18069441	93.19102223450825
SRR8791366	26511122	25437425	95.95001297945821	25437422	95.9500016634528
SRR8791367	19658254	18376426	93.47944125658361	18376421	93.47941582197483
SRR8791368	27978423	26843812	95.94469280845456	26843811	95.9446892342717
SRR8791369	11618243	10429059	89.76451086450852	10428977	89.76380507792787
SRR8791370	33025154	31335837	94.88475663126356	31335829	94.88473240730384
SRR8791371	22429250	21093854	94.04618522688007	21093853	94.04618076841625
SRR8791372	24572109	23170754	94.29696897405103	23170734	94.29688758095611
SRR8791373	21832372	20469813	93.7589969610265	20469812	93.75899238067214
SRR8791374	13632622	12386349	90.85815626663748	12386347	90.85814159594537
SRR8791375	18845806	17317680	91.89142666543421	17317680	91.89142666543421
SRR8791376	24945438	23004268	92.21833667542738	23004264	92.21832064043133
SRR8791378	13587952	12579150	92.57576123318657	12579145	92.5757244358826
SRR8791379	14136284	13202235	93.39254219850139	13202235	93.39254219850139
SRR8791380	23936176	22692398	94.80377316744328	22692395	94.80376063411299
SRR8791381	15899827	14320294	90.0657220987373	14320294	90.0657220987373
SRR8791382	15675848	15122140	96.46776365782573	15122127	96.4676807277029
SRR8791383	15206539	14732520	96.88279496077313	14732518	96.88278180853645
SRR8791384	15953512	14869617	93.20591603905146	14869611	93.20587842977773
SRR8791385	18764934	17903094	95.40717809079425	17903081	95.40710881263958
SRR8791386	15622202	14589645	93.3904516149516	14589645	93.3904516149516
SRR8791387	16010232	15200948	94.94520753977831	15200947	94.94520129377263
SRR8791388	25978603	24605431	94.71421923650013	24605431	94.71421923650013
SRR8791389	44187607	42569036	96.33704762514068	42569033	96.33704083590678
SRR8791390	26933409	25209612	93.59978159467299	25209610	93.59977416895127
SRR8791391	20672102	19887612	96.20507870946071	19887612	96.20507870946071
SRR8791392	20423976	19555326	95.7469103958994	19555326	95.7469103958994
SRR8791393	35892802	34452627	95.98756597492722	34452573	95.9874155269349
SRR8791394	30041323	28333415	94.31480431138137	28333388	94.31471443517984
SRR8791395	32037744	30410476	94.92077844182786	30410473	94.92076907787265
SRR8791396	42429333	40865940	96.31530149201262	40865935	96.31528970771235
SRR8791397	26675167	24686984	92.54668958586089	24686952	92.5465696241002
SRR8791398	35489977	33812017	95.27201722334168	33811982	95.27191860394838
SRR8791400	22371467	20988087	93.81631968971905	20988083	93.81630180980085
SRR8791401	27278114	25754734	94.41537637096171	25754734	94.41537637096171
SRR8791402	24179366	22846266	94.48662136137068	22846255	94.48657586803559
SRR8791403	36731948	35186223	95.79187850314935	35186214	95.79185400131787
SRR8791404	29474728	27987453	94.95406709096687	27987413	94.95393138148722
SRR8791405	17970074	16566564	92.18973722645772	16566564	92.18973722645772
SRR8791406	23706995	22239581	93.8102066499782	22239581	93.8102066499782
SRR8791407	25746714	24091156	93.56982797882479	24091147	93.5697930229077
